antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'smart worker'}),"frozenset({'salary', 'Management'})",0.50235,0.2479,0.12595,0.2507216084403305,1.0113820429218656,1.0,0.0014174350000000085,1.0037657678002125,0.022614186637498083,0.20174595547012655,0.0037516399951209546,0.37939468885106475
"frozenset({'salary', 'Management'})",frozenset({'smart worker'}),0.2479,0.50235,0.12595,0.5080677692617991,1.0113820429218654,1.0,0.0014174350000000085,1.0116230832308324,0.014963369206423242,0.20174595547012655,0.011489539358583585,0.37939468885106475
frozenset({'salary'}),frozenset({'Technical'}),0.5039,0.50235,0.256,0.508037308989879,1.0113214073651418,1.0,0.0028658350000000388,1.0115604477611941,0.022565345633441144,0.3412195934688437,0.011428331136097687,0.508821083080587
frozenset({'Technical'}),frozenset({'salary'}),0.50235,0.5039,0.256,0.509604857171295,1.0113214073651418,1.0,0.0028658350000000388,1.0116331844936068,0.022495062732342308,0.3412195934688437,0.011499409738550667,0.508821083080587
frozenset({'salary'}),"frozenset({'no', 'Technical', 'yes'})",0.5039,0.2504,0.1276,0.25322484619964275,1.01128133466311,1.0,0.0014234399999999703,1.003782726547967,0.022486365437243895,0.20360619116004466,0.0037684714509641655,0.38140475536819196
"frozenset({'no', 'Technical', 'yes'})",frozenset({'salary'}),0.2504,0.5039,0.1276,0.5095846645367411,1.01128133466311,1.0,0.0014234399999999703,1.0115915309446253,0.01488191821426987,0.20360619116004466,0.011458706987988515,0.38140475536819196
frozenset({'no'}),"frozenset({'salary', 'smart worker'})",0.7508,0.2517,0.19105,0.2544619072988812,1.010973012709103,1.0,0.0020736400000000155,1.0037045824028583,0.04355502643791229,0.235442725984349,0.0036909091258602237,0.5067502226204379
"frozenset({'salary', 'smart worker'})",frozenset({'no'}),0.2517,0.7508,0.19105,0.7590385379419945,1.010973012709103,1.0,0.0020736400000000155,1.0341902720527618,0.014504760909164431,0.235442725984349,0.03305994358745776,0.5067502226204379
"frozenset({'stubborn', 'salary'})",frozenset({'Technical'}),0.24755,0.50235,0.1257,0.5077762068269037,1.010801645917993,1.0,0.001343257500000014,1.0110238613048832,0.014201896715756519,0.2013777635373278,0.010903660859848802,0.37900007713695144
frozenset({'Technical'}),"frozenset({'stubborn', 'salary'})",0.50235,0.24755,0.1257,0.25022394744699916,1.010801645917993,1.0,0.001343257500000014,1.0035663281561134,0.02147335915557318,0.2013777635373278,0.0035536546574512187,0.37900007713695144
"frozenset({'smart worker', 'gentle'})",frozenset({'no'}),0.2515,0.7508,0.19085,0.7588469184890656,1.010717792340258,1.0,0.0020237999999999923,1.0333685078318218,0.014167186875716276,0.23519625362006283,0.03229100517281533,0.5065212216313202
frozenset({'no'}),"frozenset({'smart worker', 'gentle'})",0.7508,0.2515,0.19085,0.2541955247735748,1.0107177923402577,1.0,0.0020237999999999923,1.0036142512724349,0.04255272622982998,0.23519625362006283,0.0036012355024379696,0.5065212216313202
"frozenset({'Management', 'no'})",frozenset({'work'}),0.37225,0.4961,0.18665,0.5014103425117529,1.0107041776088548,1.0,0.001976775000000014,1.0106507273706897,0.016871065996996136,0.27380079213730385,0.010538484841740197,0.43882248631332454
frozenset({'work'}),"frozenset({'Management', 'no'})",0.4961,0.37225,0.18665,0.3762346301148962,1.0107041776088548,1.0,0.001976775000000014,1.0063880271449346,0.021017685413007196,0.27380079213730385,0.006347479275023803,0.43882248631332454
